logxy linlog
xlimit 6
ylimit 5
file *
read    157
  0.00000      0.242277    
 3.205128E-03  0.471135    
 6.410256E-03  0.407426    
 9.615385E-03  0.286638    
 1.282051E-02  0.175651    
 1.602564E-02  0.132593    
 1.923077E-02  0.146037    
 2.243590E-02  0.225616    
 2.564103E-02  0.402278    
 2.884615E-02  0.548830    
 3.205128E-02  0.449620    
 3.525641E-02  0.158505    
 3.846154E-02  2.313459E-02
 4.166667E-02  0.416002    
 4.487180E-02   1.63014    
 4.807692E-02   3.52561    
 5.128205E-02   5.11001    
 5.448718E-02   5.29962    
 5.769231E-02   4.15948    
 6.089744E-02   2.66566    
 6.410257E-02   1.54377    
 6.730770E-02  0.912617    
 7.051282E-02  0.606383    
 7.371795E-02  0.419964    
 7.692308E-02  0.254379    
 8.012821E-02  0.133638    
 8.333334E-02  8.024000E-02
 8.653846E-02  7.258355E-02
 8.974359E-02  7.906327E-02
 9.294872E-02  7.252496E-02
 9.615385E-02  5.424287E-02
 9.935898E-02  4.563290E-02
 0.102564      5.201285E-02
 0.105769      8.632640E-02
 0.108974      0.210424    
 0.112179      0.488227    
 0.115385      0.856186    
 0.118590       1.08214    
 0.121795      0.972115    
 0.125000      0.612231    
 0.128205      0.271284    
 0.131410      9.662736E-02
 0.134615      4.716202E-02
 0.137821      4.782559E-02
 0.141026      5.650821E-02
 0.144231      4.543671E-02
 0.147436      2.058056E-02
 0.150641      1.545154E-02
 0.153846      3.525542E-02
 0.157051      4.955136E-02
 0.160256      4.047719E-02
 0.163462      2.263370E-02
 0.166667      1.544149E-02
 0.169872      1.842883E-02
 0.173077      1.999956E-02
 0.176282      2.140594E-02
 0.179487      3.799864E-02
 0.182692      6.894934E-02
 0.185897      8.376554E-02
 0.189103      6.083191E-02
 0.192308      2.276465E-02
 0.195513      1.295193E-02
 0.198718      5.367981E-02
 0.201923      0.134171    
 0.205128      0.212250    
 0.208333      0.224717    
 0.211538      0.143420    
 0.214744      3.622967E-02
 0.217949      8.629281E-03
 0.221154      7.173493E-02
 0.224359      0.142314    
 0.227564      0.159897    
 0.230769      0.130897    
 0.233974      8.606712E-02
 0.237179      4.709640E-02
 0.240385      2.280600E-02
 0.243590      1.578290E-02
 0.246795      2.660495E-02
 0.250000      5.433483E-02
 0.253205      9.656470E-02
 0.256410      0.145529    
 0.259615      0.182735    
 0.262821      0.186406    
 0.266026      0.152001    
 0.269231      9.958524E-02
 0.272436      5.689759E-02
 0.275641      4.128686E-02
 0.278846      5.273593E-02
 0.282051      7.240935E-02
 0.285256      7.625717E-02
 0.288462      6.043648E-02
 0.291667      4.320483E-02
 0.294872      3.807336E-02
 0.298077      3.876878E-02
 0.301282      3.307288E-02
 0.304487      1.983035E-02
 0.307692      7.733590E-03
 0.310897      2.890108E-03
 0.314103      3.155368E-03
 0.317308      3.834751E-03
 0.320513      4.415642E-03
 0.323718      8.258252E-03
 0.326923      1.676520E-02
 0.330128      2.410674E-02
 0.333333      2.151373E-02
 0.336538      1.047092E-02
 0.339744      3.006649E-03
 0.342949      4.107144E-03
 0.346154      6.509851E-03
 0.349359      5.230958E-03
 0.352564      3.548128E-03
 0.355769      3.967682E-03
 0.358974      4.231052E-03
 0.362179      2.809988E-03
 0.365385      1.306117E-03
 0.368590      1.031952E-03
 0.371795      1.337160E-03
 0.375000      1.243816E-03
 0.378205      9.535088E-04
 0.381410      2.186458E-03
 0.384615      5.917991E-03
 0.387821      9.332695E-03
 0.391026      8.522344E-03
 0.394231      4.052521E-03
 0.397436      8.163720E-04
 0.400641      3.046232E-03
 0.403846      9.977239E-03
 0.407051      1.634431E-02
 0.410256      1.778854E-02
 0.413462      1.407681E-02
 0.416667      7.893028E-03
 0.419872      4.169558E-03
 0.423077      7.243485E-03
 0.426282      1.429694E-02
 0.429487      1.670982E-02
 0.432692      1.121975E-02
 0.435897      4.244199E-03
 0.439103      3.134958E-03
 0.442308      7.537705E-03
 0.445513      1.099123E-02
 0.448718      8.914506E-03
 0.451923      3.464278E-03
 0.455128      3.141547E-04
 0.458333      1.701908E-03
 0.461538      4.390804E-03
 0.464744      4.512997E-03
 0.467949      2.277912E-03
 0.471154      5.811670E-04
 0.474359      5.885069E-04
 0.477564      1.007788E-03
 0.480769      9.427863E-04
 0.483974      7.860168E-04
 0.487179      6.812462E-04
 0.490385      4.163178E-04
 0.493590      1.605318E-04
 0.496795      6.161618E-05
 0.500000      4.065321E-05
plot
stop
